    [-9.9840, 52.5202, -10.8158, -26.6322],
    [-9.9840, 52.3927, -10.7012, -26.6322],
    [-9.9840, 52.2614, -10.5835, -26.6322],
    [-9.9840, 52.1340, -10.4696, -26.6322],
    [-9.9840, 52.0067, -10.3559, -26.6322],
    [-9.9840, 51.8755, -10.2390, -26.6322],
    [-9.9840, 51.7483, -10.1259, -26.6322],
    [-9.9840, 51.6211, -10.0130, -26.6322],
    [-9.9840, 51.4902, -9.8970, -26.6322],
    [-9.9840, 51.3631, -9.7847, -26.6322],
    [-9.9840, 51.2361, -9.6726, -26.6322],
    [-9.9840, 51.1053, -9.5574, -26.6322],
    [-9.9840, 50.9784, -9.4459, -26.6322],
    [-9.9840, 50.8516, -9.3346, -26.6322],
    [-9.9840, 50.7209, -9.2203, -26.6322],
    [-9.9840, 50.5942, -9.1095, -26.6322],
    [-9.9840, 50.4675, -8.9990, -26.6322],
    [-9.9840, 50.3370, -8.8855, -26.6322],
    [-9.9840, 50.2105, -8.7756, -26.6322],
    [-9.9840, 50.0839, -8.6659, -26.6322],
    [-9.9840, 49.9536, -8.5531, -26.6322],
    [-9.9840, 49.8272, -8.4440, -26.6322],
    [-9.9840, 49.7008, -8.3351, -26.6322],
    [-9.9840, 49.5706, -8.2231, -26.6322],
    [-9.9840, 49.4443, -8.1147, -26.6322],
    [-9.9840, 49.3181, -8.0066, -26.6322],
    [-9.9840, 49.1881, -7.8955, -26.6322],
    [-9.9840, 49.0619, -7.7878, -26.6322],
    [-9.9840, 48.9358, -7.6805, -26.6322],
    [-9.9840, 48.8060, -7.5701, -26.6322],
    [-9.9840, 48.6799, -7.4633, -26.6322],
    [-9.9840, 48.5540, -7.3567, -26.6322],
    [-9.9840, 48.4243, -7.2471, -26.6322],
    [-9.9840, 48.2984, -7.1411, -26.6322],
    [-9.9840, 48.1726, -7.0352, -26.6322],
    [-9.9840, 48.0430, -6.9264, -26.6322],
    [-9.9840, 47.9172, -6.8211, -26.6322],
    [-9.9840, 47.7915, -6.7160, -26.6322],
    [-9.9840, 47.6621, -6.6080, -26.6322],
    [-9.9840, 47.5365, -6.5035, -26.6322],
    [-9.9840, 47.4109, -6.3991, -26.6322],
