q1_deg,q2_deg,q3_deg,q4_deg
13.5608,0.1410,16.3455,-84.1646
13.4561,0.2319,16.3715,-84.1080
13.4561,0.2321,16.3711,-84.2131
13.4561,0.3515,16.3564,-84.1338
13.4561,0.3516,16.3563,-84.1821
13.4561,0.4689,16.3415,-84.1265
13.4561,0.4690,16.3414,-84.1650
13.4561,0.5889,16.3260,-84.1126
13.4561,0.5890,16.3259,-84.1502
13.3492,0.6805,16.3510,-84.0937
13.3492,0.6808,16.3506,-84.2016
13.3492,0.8010,16.3346,-84.1204
13.3492,0.8011,16.3344,-84.1701
13.3492,0.9192,16.3184,-84.1136
13.3492,0.9193,16.3183,-84.1529
13.2443,1.0147,16.3409,-84.0951
13.2442,1.0150,16.3406,-84.2037
13.2442,1.1335,16.3239,-84.1223
13.2442,1.1336,16.3238,-84.1722
13.2442,1.2547,16.3064,-84.1148
13.2442,1.2548,16.3063,-84.1550
13.1372,1.3482,16.3288,-84.0973
13.1371,1.3485,16.3284,-84.2081
13.1371,1.4700,16.3104,-84.1245
13.1371,1.4701,16.3103,-84.1762
13.0320,1.5648,16.3310,-84.1137
13.0320,1.5650,16.3307,-84.2259
13.0320,1.6870,16.3120,-84.1414
13.0320,1.6871,16.3119,-84.1938
13.0320,1.8092,16.2929,-84.1351
13.0320,1.8093,16.2927,-84.1763
12.9247,1.9044,16.3129,-84.1182
12.9247,1.9047,16.3126,-84.2311
12.9247,2.0272,16.2929,-84.1457
12.9247,2.0273,16.2928,-84.1990
12.8194,2.1237,16.3112,-84.1356
12.8194,2.1239,16.3109,-84.2502
12.8194,2.2469,16.2906,-84.1637
12.8194,2.2470,16.2904,-84.2177
12.8194,2.3677,16.2702,-84.1589
12.8194,2.3678,16.2700,-84.2004
12.7120,2.4670,16.2876,-84.1414
12.7119,2.4672,16.2872,-84.2570
12.7119,2.5884,16.2663,-84.1701
12.7119,2.5884,16.2662,-84.2245
12.6065,2.6888,16.2820,-84.1598
12.6064,2.6891,16.2816,-84.2774
12.6064,2.8106,16.2601,-84.1893
12.6064,2.8107,16.2599,-84.2446
12.4988,2.9113,16.2755,-84.1793
12.4988,2.9116,16.2751,-84.2995
12.4988,3.0335,16.2530,-84.2098
12.4988,3.0336,16.2528,-84.2662
12.3932,3.1353,16.2666,-84.2005
12.3931,3.1356,16.2663,-84.3202
12.3931,3.2579,16.2435,-84.2304
12.3931,3.2580,16.2433,-84.2871
12.2853,3.3600,16.2568,-84.2212
12.2853,3.3602,16.2565,-84.3434
12.1795,3.4607,16.2691,-84.2474
12.1795,3.4609,16.2688,-84.3180
12.1795,3.5863,16.2446,-84.3150
12.1795,3.5864,16.2444,-84.3309
12.0715,3.6871,16.2568,-84.2854
12.0715,3.6873,16.2564,-84.3988
12.0715,3.8131,16.2315,-84.3106
12.0715,3.8131,16.2313,-84.3676
11.9655,3.9150,16.2420,-84.3024
11.9655,3.9152,16.2417,-84.4246
11.8573,4.0195,16.2520,-84.3271
11.8573,4.0197,16.2516,-84.3985
11.8573,4.1436,16.2262,-84.3999
11.8573,4.1437,16.2261,-84.4130
11.7512,4.2491,16.2346,-84.3690
11.7511,4.2493,16.2343,-84.4822
11.6428,4.3523,16.2434,-84.3895
11.6428,4.3525,16.2431,-84.4593
